Team,Week,3rd downs Att,3rd dwns Conv,4th downs Att,4th downs Conv,Passing Yards,Punts,Rushing,Sacks,Total drives,Turnovers
titans,17,12.0,3.9166666666666665,1.0,0.6666666666666666,204.5,4.333333333333333,106.16666666666667,3.1666666666666665,10.0,1.0
raiders,17,12.533333333333333,4.333333333333333,1.4,0.8,202.53333333333333,4.4,94.0,2.3333333333333335,10.533333333333333,1.4666666666666666
panthers,17,14.933333333333334,5.466666666666667,2.6666666666666665,1.2,202.6,4.666666666666667,105.4,3.7333333333333334,10.733333333333333,1.1333333333333333
texans,17,13.785714285714286,5.428571428571429,1.3571428571428572,0.5,276.57142857142856,4.642857142857143,94.85714285714286,2.857142857142857,11.5,0.9285714285714286
chargers,17,13.785714285714286,5.714285714285714,1.7142857142857142,0.6428571428571429,252.07142857142858,4.285714285714286,98.35714285714286,2.5714285714285716,11.357142857142858,1.3571428571428572
bengals,17,12.538461538461538,4.384615384615385,1.0769230769230769,0.46153846153846156,247.15384615384616,4.6923076923076925,77.23076923076923,2.6153846153846154,10.923076923076923,1.0
colts,17,13.5,5.083333333333333,2.1666666666666665,1.0833333333333333,231.5,3.8333333333333335,114.25,2.4166666666666665,11.25,1.5
broncos,17,12.733333333333333,4.666666666666667,1.0666666666666667,0.6666666666666666,204.66666666666666,4.6,110.73333333333333,3.0,11.266666666666667,1.4
lions,17,13.642857142857142,5.857142857142857,2.2857142857142856,1.1428571428571428,261.5,3.357142857142857,143.85714285714286,1.9285714285714286,11.071428571428571,1.2857142857142858
rams,17,13.23076923076923,5.538461538461538,1.1538461538461537,0.6923076923076923,246.69230769230768,3.6923076923076925,118.38461538461539,1.8461538461538463,10.538461538461538,1.0
cardinals,17,13.466666666666667,5.2,2.0,0.7333333333333333,195.73333333333332,4.066666666666666,129.2,2.6666666666666665,10.866666666666667,1.1333333333333333
49ers,17,10.666666666666666,5.066666666666666,0.7333333333333333,0.4,277.2,3.1333333333333333,138.66666666666666,2.0,10.8,1.1333333333333333
falcons,17,13.4,5.466666666666667,1.1333333333333333,0.5333333333333333,218.46666666666667,4.466666666666667,129.8,2.466666666666667,11.4,1.4
cowboys,17,13.733333333333333,6.533333333333333,1.4666666666666666,0.8,254.26666666666668,2.6666666666666665,110.26666666666667,2.466666666666667,10.2,1.0666666666666667
vikings,17,13.428571428571429,5.357142857142857,1.6428571428571428,1.0714285714285714,272.92857142857144,3.5,89.57142857142857,2.5714285714285716,10.5,2.0
packers,17,13.266666666666667,5.933333333333334,1.5333333333333334,0.8,240.06666666666666,3.6666666666666665,106.93333333333334,1.9333333333333333,10.466666666666667,1.0666666666666667
bears,17,14.066666666666666,5.933333333333334,1.5333333333333334,0.7333333333333333,200.33333333333334,4.0,142.13333333333333,2.8,11.066666666666666,1.6666666666666667
jaguars,17,13.714285714285714,4.928571428571429,2.2857142857142856,1.2142857142857142,256.07142857142856,4.357142857142857,95.57142857142857,2.142857142857143,11.642857142857142,2.0
buccs,17,14.133333333333333,6.0,1.1333333333333333,0.7333333333333333,239.86666666666667,4.4,89.26666666666667,2.3333333333333335,10.733333333333333,0.9333333333333333
saints,17,13.8,5.333333333333333,1.2,0.5333333333333333,250.2,4.333333333333333,98.66666666666667,2.066666666666667,11.4,1.2
eagles,17,13.846153846153847,7.0,1.6923076923076923,1.2307692307692308,243.15384615384616,2.923076923076923,129.0,2.230769230769231,10.384615384615385,1.6153846153846154
giants,17,14.214285714285714,4.428571428571429,2.4285714285714284,1.2142857142857142,193.85714285714286,5.142857142857143,104.07142857142857,5.214285714285714,11.285714285714286,1.2142857142857142
commanders,17,12.857142857142858,4.571428571428571,1.5714285714285714,0.7857142857142857,255.78571428571428,4.642857142857143,90.28571428571429,3.9285714285714284,12.071428571428571,2.0
steelers,17,13.6,4.866666666666666,1.0666666666666667,0.4666666666666667,199.66666666666666,5.466666666666667,110.2,2.1333333333333333,11.466666666666667,0.9333333333333333
dolphins,18,12.0,5.0625,1.5625,0.6875,260.1875,3.0,128.5625,1.875,11.0625,1.4375
bills,18,12.733333333333333,6.333333333333333,0.8666666666666667,0.5333333333333333,247.4,3.1333333333333333,132.46666666666667,1.0666666666666667,10.733333333333333,1.4
jets,18,13.714285714285714,3.642857142857143,1.8571428571428572,1.1428571428571428,208.78571428571428,5.5,88.0,4.0,12.0,2.0714285714285716
patriots,18,13.0,4.125,1.375,0.5625,206.5,5.5625,96.1875,2.5625,11.8125,1.6875
steelers,18,13.5625,4.9375,1.1875,0.5625,204.3125,5.1875,115.9375,2.0625,11.375,0.875
browns,18,15.125,4.875,1.9375,1.0625,240.3125,5.1875,119.5625,2.625,13.125,2.1875
bengals,18,12.785714285714286,4.642857142857143,1.2142857142857142,0.5,243.57142857142858,4.642857142857143,79.14285714285714,2.857142857142857,10.857142857142858,0.9285714285714286
ravens,18,11.857142857142858,5.214285714285714,0.8571428571428571,0.5,226.42857142857142,3.5,154.35714285714286,2.2142857142857144,10.928571428571429,0.9285714285714286
colts,18,13.461538461538462,5.153846153846154,2.076923076923077,1.0769230769230769,230.92307692307693,3.769230769230769,115.76923076923077,2.3076923076923075,11.153846153846153,1.3846153846153846
texans,18,13.6,5.266666666666667,1.2666666666666666,0.4666666666666667,272.3333333333333,4.533333333333333,95.93333333333334,2.7333333333333334,11.266666666666667,0.8666666666666667
titans,18,12.0,3.6923076923076925,1.2307692307692308,0.7692307692307693,202.92307692307693,4.384615384615385,102.07692307692308,3.3846153846153846,10.0,1.0
jaguars,18,13.666666666666666,4.666666666666667,2.533333333333333,1.3333333333333333,252.8,4.466666666666667,99.53333333333333,2.4,11.6,1.8666666666666667
raiders,18,12.6875,4.375,1.4375,0.875,208.5625,4.4375,93.375,2.3125,10.4375,1.375
chargers,18,13.6,5.466666666666667,1.7333333333333334,0.6666666666666666,249.93333333333334,4.266666666666667,97.53333333333333,2.466666666666667,11.266666666666667,1.3333333333333333
broncos,18,13.0,4.8125,1.0625,0.6875,205.875,4.625,110.125,2.9375,11.25,1.3125
chiefs,18,12.75,5.625,1.1875,0.5625,272.9375,3.3125,102.875,1.6875,10.5625,1.75
commanders,18,12.6,4.466666666666667,1.5333333333333334,0.7333333333333333,250.0,4.533333333333333,88.4,3.7333333333333334,11.866666666666667,2.0
eagles,18,13.5,6.785714285714286,1.6428571428571428,1.2142857142857142,238.92857142857142,2.857142857142857,126.28571428571429,2.0714285714285716,10.142857142857142,1.5714285714285714
giants,18,14.333333333333334,4.466666666666667,2.466666666666667,1.2,202.2,5.133333333333334,104.13333333333334,5.266666666666667,11.4,1.2
cowboys,18,13.75,6.5625,1.375,0.75,259.9375,2.75,107.1875,2.5,10.3125,1.125
packers,18,13.3125,6.125,1.5,0.75,243.375,3.5625,111.3125,1.8125,10.4375,1.0625
vikings,18,13.2,5.2,1.6666666666666667,1.0,266.73333333333335,3.533333333333333,88.06666666666666,2.6666666666666665,10.533333333333333,2.0
bears,18,14.1875,5.9375,1.5625,0.75,204.5625,4.0,145.25,2.8125,11.1875,1.5625
lions,18,13.6,5.733333333333333,2.3333333333333335,1.2,264.2,3.4,142.6,1.8666666666666667,11.066666666666666,1.3333333333333333
saints,18,14.0625,5.5,1.125,0.5,247.5625,4.4375,99.25,2.0,11.4375,1.125
buccs,18,13.75,5.75,1.125,0.75,244.1875,4.4375,87.25,2.3125,10.8125,1.125
falcons,18,13.375,5.375,1.125,0.5,216.0625,4.375,130.0625,2.4375,11.5,1.5625
panthers,18,14.8125,5.1875,2.875,1.3125,196.9375,4.75,102.375,3.875,10.6875,1.125
seahawks,18,12.266666666666667,4.266666666666667,1.0,0.3333333333333333,243.33333333333334,3.8666666666666667,90.66666666666667,2.466666666666667,10.666666666666666,1.1333333333333333
49ers,18,10.5625,5.0,0.75,0.375,274.25,3.0625,141.5,1.9375,10.6875,1.0625
rams,18,12.857142857142858,5.285714285714286,1.1428571428571428,0.6428571428571429,251.71428571428572,3.7857142857142856,117.42857142857143,2.0,10.785714285714286,1.1428571428571428
cardinals,18,13.25,5.1875,2.0,0.8125,198.0,3.8125,134.9375,2.5625,10.6875,1.125
steelers,Wildcard,13.647058823529411,5.0,1.1176470588235294,0.5294117647058824,201.23529411764707,5.235294117647059,118.23529411764706,2.1176470588235294,11.411764705882353,0.9411764705882353
chiefs,Wildcard,12.941176470588236,5.647058823529412,1.1764705882352942,0.5882352941176471,265.94117647058823,3.4705882352941178,104.05882352941177,1.6470588235294117,10.529411764705882,1.7058823529411764
texans,Wildcard,13.5625,5.25,1.25,0.4375,271.8125,4.625,93.6875,2.6875,11.25,0.8125
bills,Wildcard,12.875,6.5,1.0,0.5625,254.375,3.0,132.1875,1.1875,10.625,1.5
browns,Wildcard,14.882352941176471,4.705882352941177,1.8823529411764706,1.0588235294117647,235.94117647058823,5.294117647058823,118.6470588235294,2.6470588235294117,13.117647058823529,2.176470588235294
dolphins,Wildcard,11.882352941176471,5.0,1.4705882352941178,0.6470588235294118,255.05882352941177,3.1176470588235294,127.3529411764706,1.8235294117647058,10.941176470588236,1.4705882352941178
packers,Wildcard,13.117647058823529,6.176470588235294,1.411764705882353,0.7058823529411765,247.64705882352942,3.3529411764705883,112.05882352941177,1.7647058823529411,10.235294117647058,1.0588235294117647
buccs,Wildcard,13.882352941176471,5.764705882352941,1.0588235294117647,0.7058823529411765,237.88235294117646,4.529411764705882,88.76470588235294,2.3529411764705883,10.764705882352942,1.0588235294117647
rams,Wildcard,13.0,5.533333333333333,1.3333333333333333,0.8,245.8,3.6666666666666665,116.86666666666666,2.0,10.666666666666666,1.1333333333333333
cowboys,Wildcard,13.529411764705882,6.529411764705882,1.3529411764705883,0.7647058823529411,262.8235294117647,2.588235294117647,108.58823529411765,2.3529411764705883,10.235294117647058,1.1176470588235294
eagles,Wildcard,13.466666666666667,6.666666666666667,1.6,1.1333333333333333,236.53333333333333,2.933333333333333,126.73333333333333,2.2666666666666666,10.333333333333334,1.7333333333333334
lions,Wildcard,13.3125,5.4375,2.3125,1.25,267.6875,3.5,138.0625,1.8125,11.0625,1.25
chiefs,Divisional,13.055555555555555,5.666666666666667,1.1666666666666667,0.6111111111111112,265.72222222222223,3.4444444444444446,106.44444444444444,1.5555555555555556,10.5,1.6666666666666667
texans,Divisional,13.235294117647058,5.0588235294117645,1.1764705882352942,0.4117647058823529,272.29411764705884,4.588235294117647,92.6470588235294,2.5294117647058822,11.176470588235293,0.7647058823529411
ravens,Divisional,11.933333333333334,5.133333333333334,0.8666666666666667,0.5333333333333333,221.06666666666666,3.7333333333333334,151.13333333333333,2.3333333333333335,11.0,1.0
bills,Divisional,12.823529411764707,6.411764705882353,1.0,0.5882352941176471,251.35294117647058,3.0,134.94117647058823,1.2352941176470589,10.647058823529411,1.411764705882353
buccs,Divisional,13.88888888888889,5.777777777777778,1.1111111111111112,0.7222222222222222,243.38888888888889,4.444444444444445,90.44444444444444,2.4444444444444446,10.722222222222221,1.0
49ers,Divisional,10.529411764705882,5.0,0.7647058823529411,0.4117647058823529,269.2352941176471,3.0588235294117645,140.52941176470588,2.0,10.529411764705882,1.0588235294117647
lions,Divisional,13.058823529411764,5.294117647058823,2.235294117647059,1.2352941176470589,268.2352941176471,3.4705882352941178,134.58823529411765,1.8823529411764706,10.882352941176471,1.1764705882352942
packers,Divisional,12.944444444444445,6.166666666666667,1.3888888888888888,0.7222222222222222,249.0,3.3333333333333335,113.77777777777777,1.6666666666666667,10.222222222222221,1.0
chiefs,Conference,12.631578947368421,5.421052631578948,1.105263157894737,0.5789473684210527,263.05263157894734,3.3157894736842106,108.52631578947368,1.4736842105263157,10.421052631578947,1.631578947368421
ravens,Conference,11.9375,5.0625,0.9375,0.625,216.75,3.75,156.0,2.375,10.9375,0.9375
49ers,Conference,10.833333333333334,5.277777777777778,0.7222222222222222,0.3888888888888889,268.27777777777777,3.111111111111111,138.88888888888889,1.9444444444444444,10.5,1.0
